2005M01	99.06
2005M02	99.54
2005M03	100.07
2005M04	100.17
2005M05	100.77
2005M06	100.23
2005M07	99.44
2005M08	99.27
2005M09	99.48
2005M10	100.02
2005M11	100.71
2005M12	101.25
2006M01	102.18
2006M02	102.45
2006M03	102.59
2006M04	103.22
2006M05	104.15
2006M06	104.44
2006M07	104.85
2006M08	104.86
2006M09	105.03
2006M10	105.88
2006M11	107.11
2006M12	107.89
2007M01	109.37
2007M02	110.06
2007M03	110.65
2007M04	112.32
2007M05	112.63
2007M06	113.02
2007M07	114.11
2007M08	114.87
2007M09	117.01
2007M10	120.33
2007M11	121.23
2007M12	122.18
2008M01	124.90
2008M02	127.80
2008M03	129.54
2008M04	131.83
2008M05	132.97
2008M06	133.82
2008M07	134.39
2008M08	134.41
2008M09	134.88
2008M10	135.88
2008M11	136.35
2008M12	136.66
2009M01	139.47
2009M02	140.23
2009M03	140.28
2009M04	140.86
2009M05	140.87
2009M06	139.03
2009M07	138.14
2009M08	137.03
2009M09	137.65
2009M10	138.71
2009M11	139.48
2009M12	139.22
2010M01	140.77
2010M02	140.79
2010M03	141.31
2010M04	142.22
2010M05	142.76
2010M06	142.75
2010M07	142.70
2010M08	142.34
2010M09	143.64
2010M10	144.71
2010M11	144.90
2010M12	146.36
2011M01	147.93
2011M02	149.22
2011M03	150.63
2011M04	153.15
2011M05	154.97
2011M06	154.04
2011M07	153.10
2011M08	151.55
